runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
29600000,WKO00_SSu_20200428_20200624,1201,296,1,t_1077929_b_26238_tn_0,14007039,t_1077936_b_26238_tn_0,14002788
29700000,WKO00_SSu_20200428_20200624,2201,297,1,t_1077943_b_26238_tn_0,14006842,t_1077945_b_26238_tn_0,14002601
29800000,WKO00_SSu_20200428_20200624,U20-3,298,1,t_1077885_b_26238_tn_0,14004376,t_1077891_b_26238_tn_0,14006127
29900000,WKO00_SSu_20200428_20200624,U22-1,299,1,t_1078055_b_26238_tn_0,14002701,t_1078062_b_26238_tn_0,14002701
300000,WKO00_MTWThF_20200626_20230429,1201,3,1,t_911090_b_25620_tn_0,14002601,t_911053_b_25620_tn_0,14002601
3000000,WKO00_MTWThF_20200626_20230429,U20-1,30,1,t_900031_b_25620_tn_0,14004376,t_900024_b_25620_tn_0,14006127
30000000,WKO00_SSu_20200428_20200624,U22-2,300,1,t_1078051_b_26238_tn_0,14002701,t_1078063_b_26238_tn_0,14002701
30100000,WKO00_SSu_20200428_20200624,U22-3,301,1,t_1078056_b_26238_tn_0,14002701,t_1078064_b_26238_tn_0,14002701
30200000,WKO00_SSu_20200428_20200624,U24-3,302,1,t_1078116_b_26238_tn_0,14003693,t_1078130_b_26238_tn_0,14003693
30300000,WKO00_MTWThF_20200720_20200925,6201,303,1,t_924129_b_25612_tn_0,14005920,t_924129_b_25612_tn_0,14007039
30400000,WKO00_MTWThF_20200720_20200925,6202,304,1,t_924130_b_25612_tn_0,14007039,t_924130_b_25612_tn_0,14003576
30500000,WKO00_MTWThF_20200720_20200925,7201,305,1,t_877419_b_25612_tn_0,14006617,t_877419_b_25612_tn_0,14002116
30600000,WKO00_MTWThF_20200720_20200925,7202,306,1,t_877417_b_25612_tn_0,14002116,t_877417_b_25612_tn_0,14008321
30700000,WKO00_MTWThF_20200720_20200925,U20-1,307,1,t_900424_b_25612_tn_0,14002601,t_900424_b_25612_tn_0,14006127
30800000,WKO00_MTWThF_20201012_20201218,6201,308,1,t_924129_b_25613_tn_0,14005920,t_924129_b_25613_tn_0,14007039
30900000,WKO00_MTWThF_20201012_20201218,6202,309,1,t_924130_b_25613_tn_0,14007039,t_924130_b_25613_tn_0,14003576
3100000,WKO00_MTWThF_20200626_20230429,U2-01 1,31,1,t_559842_b_25620_tn_0,14008105,t_561055_b_25620_tn_0,14002170
31000000,WKO00_MTWThF_20201012_20201218,7201,310,1,t_877419_b_25613_tn_0,14006617,t_877419_b_25613_tn_0,14002116
31100000,WKO00_MTWThF_20201012_20201218,7202,311,1,t_877417_b_25613_tn_0,14002116,t_877417_b_25613_tn_0,14008321
31200000,WKO00_MTWThF_20201012_20201218,U20-1,312,1,t_900424_b_25613_tn_0,14002601,t_900424_b_25613_tn_0,14006127
31300000,WKO00_MTWThF_20200625_20200703,6201,313,1,t_924129_b_25614_tn_0,14005920,t_924129_b_25614_tn_0,14007039
31400000,WKO00_MTWThF_20200625_20200703,6202,314,1,t_924130_b_25614_tn_0,14007039,t_924130_b_25614_tn_0,14003576
31500000,WKO00_MTWThF_20200625_20200703,7201,315,1,t_877419_b_25614_tn_0,14006617,t_877419_b_25614_tn_0,14002116
31600000,WKO00_MTWThF_20200625_20200703,7202,316,1,t_877417_b_25614_tn_0,14002116,t_877417_b_25614_tn_0,14008321
31700000,WKO00_MTWThF_20200625_20200703,U20-1,317,1,t_900424_b_25614_tn_0,14002601,t_900424_b_25614_tn_0,14006127
