stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
rt33S12,6100 E Interstate 40 (Amarillo Machinery),This stop is on the access road of Interstate 40 & West of Whittaker Rd in front of Amarillo Machinery,35.19225933,-101.7660898,,,
rt33S13,Interstate 40 & S Eastern St,This stop is on the access road of Interstate 40 & East of S Eastern St,35.193014,-101.778432,,,
rt33S14,Interstate 40 & Carter St (Woodspring Suites Motel),This stop is on the access road of Interstate 40 & East of Carter St in front of the Woodspring Suites Motel,35.19295548,-101.7819301,,,
rt33S17,Interstate 40 & S Grand St (Bank of America),This stop is on the access road of Interstate 40 & West of S Grand St in front of Bank of America,35.1936203,-101.7965305,,,
rt33S18,Interstate 40 & Tee Anchor Blvd (Amarillo Value Inn),This stop is on the access road of Interstate 40 & Tee Anchor Blvd in front of Amarillo Value Inn,35.19370816,-101.8011929,,,
rt33S19,Interstate 40 & Ross St (IHOP),This stop is on the access road of Interstate 40 & West of Ross St in front of IHOP,35.1929428,-101.8187016,,,
rt33S20,Interstate 40 & S Cleveland St,This stop is on the access road of Interstate 40 & West of S Cleveland St,35.19290152,-101.8258991,,,
rt33S24,S Arthur St & SE 16th Ave,This stop is on S Arthur St & South of SE 16th Ave,35.195557,-101.826470,,,
rt33S25,S Arthur St & SE 12th Ave,This stop is on S Arthur St & North of SE 12th Ave,35.199933,-101.825597,,,
rt33S26,S Arthur St & SE 6th Ave (Fluhman Outdoor Media),This stop is on S Arthur St & North of SE 6th Ave in front of Fluhman Outdoor Media,35.206605,-101.824273,,,
rt41S2,SE 12th Ave & S Taylor St,This stop is on SE 12th Ave & West of S Taylor St,35.20141295,-101.8372774,,,
rt41S3,S Polk St & SE 13th Ave (Amarillo College Polk St Campus),This stop is on S Polk St & North of SE 13th Ave in front of the Amarillo College Polk St Campus,35.200665,-101.838537,,,
rt41S4,SW 15th Ave & S Harrison St (Park Central),This stop is on SW 15th Ave & West of S Harrison St in front of Park Central,35.19891667,-101.8420463,,,
rt41S5,SW 15th Ave & S Monroe St (Parking Lot across from Church),This stop is on SW 15th Ave & West of S Monroe St in the parking lot across from Central Church of Christ,35.19938089,-101.845535,,,
rt41S6,S Washington St & SW 16th Ave,This stop is on S Washington St & South of SW 16th Ave,35.19815825,-101.8486881,,,
rt41S7,S Washington St & SW 17th Ave (1700 S Washington St),This stop is on S Washington St & South of SW 17th Ave,35.19618909,-101.8486901,,,
rt41S8,S Washington St & Wolflin Ave (Toot N Totum),This stop is on S Washington St & South of Wolflin Ave in front of Toot N Totum,35.19230507,-101.8486739,,,
rt41S9,S Washington St & SW 22nd Ave,This stop is on S Washington St & North of SW 22nd Ave,35.1894102,-101.8486697,,,
rt41S10,SW 24th Ave & S Washington St,This stop is on S Washington St & SW 24th Ave,35.187589,-101.848673,,,
rt41S11,S Washington St & SW 28th Ave,This stop is on S Washington St & North of SW 28th Ave,35.184034,-101.848666,,,
rt41S12,S Washington St & SW 33rd Ave,This stop is on S Washington St & South of SW 33rd Ave,35.179178,-101.848686,,,
rt41S13,S Washington St & SW 37th Ave (South of Sonic Drive-in),This stop is on S Washington St & North of SW 37th Ave South of Sonic Drive-in,35.175701,-101.848688,,,
rt41S14,S Washington St & SW 41st Ave,This stop is on S Washington St & North of SW 41st Ave,35.171588,-101.848669,,,
rt41S15,Dollar General (4308 S Washington St),This stop is on Washington St & South of W 43rd Ave in front of Dollar General,35.166026,-101.848662,,,
rt41S16,SW 46th Ave & S Hughes St (Toot N Totum),This stop is SW 46th Ave & East of S Hughes St in front of Toot N Totum,35.1633896,-101.8493074,,,
rt41S17,SW 46th Ave & Parker St,This stop is on SW 46th Ave & East of Parker St,35.16221751,-101.8550411,,,
rt41S18,SW 46th Ave & Crockett St,This stop is on SW 46th Ave & East of Crockett St,35.16221635,-101.8581986,,,
rt41S19,S Georgia St & Lawton Dr (Amarillo Lock Storage),This stop is on S Georgia St & North of Lawton Dr in front of Amarillo Lock Storage,35.162498,-101.866543,,,
rt41S20,S Georgia St & SW 58th Ave (Litle Caesars Pizza),This stop is on S Georgia St & North of SW 58th Ave in front of Litle Caesars Pizza,35.15131691,-101.8662893,,,
rt41S21,SW 58th Ave & Parker St (Central Baptist Church),This stop is on SW 58th Ave & West of Parker St in front of Central Baptist Church,35.14924024,-101.8545854,,,
rt41S22,5241 S Washington St (Advo Companies),This stop is on S Washington St & South of Pikes Peak Dr in front of Advo Companies,35.15530193,-101.8482979,,,
rt41S23,S Washington St & SW 47th Ave (United Supermarket),This stop is on S Washington St & South of SW 47th Ave in front of United Supermarket,35.16177816,-101.848377,,,
rt41S24,S Washington St & SW 40th Ave,This stop is on S Washington St & South of SW 40th Ave,35.172224,-101.8484051,,,
